node,label,type,degree,in_degree,out_degree,betweenness,pagerank
acc:tatisariza185,tatisariza185,account,1,0,1,0.0,0.004199333991888858
franco,franco,person,183,44,139,0.2550481776288228,0.18872674723302174
topic:action tv & movies,action tv & movies,topic,1,1,0,0.0,0.005353121646739253
topic:alcoholic beverages,alcoholic beverages,topic,1,1,0,0.0,0.005353121646739253
topic:animals,animals,topic,1,1,0,0.0,0.005353121646739253
topic:animation tv & movies,animation tv & movies,topic,1,1,0,0.0,0.005353121646739253
topic:basketball,basketball,topic,1,1,0,0.0,0.005353121646739253
topic:battle royale video games,battle royale video games,topic,1,1,0,0.0,0.005353121646739253
topic:beauty,beauty,topic,1,1,0,0.0,0.005353121646739253
topic:beauty product types,beauty product types,topic,1,1,0,0.0,0.005353121646739253
topic:beauty products,beauty products,topic,1,1,0,0.0,0.005353121646739253
topic:board games,board games,topic,1,1,0,0.0,0.005353121646739253
topic:body art,body art,topic,1,1,0,0.0,0.005353121646739253
topic:body modification,body modification,topic,1,1,0,0.0,0.005353121646739253
topic:car events,car events,topic,1,1,0,0.0,0.005353121646739253
topic:car racing,car racing,topic,1,1,0,0.0,0.005353121646739253
topic:cars,cars,topic,1,1,0,0.0,0.005353121646739253
topic:cars & trucks,cars & trucks,topic,1,1,0,0.0,0.005353121646739253
topic:cats,cats,topic,1,1,0,0.0,0.005353121646739253
topic:combat sports,combat sports,topic,1,1,0,0.0,0.005353121646739253
topic:dogs,dogs,topic,1,1,0,0.0,0.005353121646739253
topic:drawing & sketching,drawing & sketching,topic,1,1,0,0.0,0.005353121646739253
topic:drinks,drinks,topic,1,1,0,0.0,0.005353121646739253
topic:fashion,fashion,topic,1,1,0,0.0,0.005353121646739253
topic:fashion products,fashion products,topic,1,1,0,0.0,0.005353121646739253
topic:football family of sports,football family of sports,topic,1,1,0,0.0,0.005353121646739253
topic:footwear,footwear,topic,1,1,0,0.0,0.005353121646739253
topic:footwear product types,footwear product types,topic,1,1,0,0.0,0.005353121646739253
topic:gardening & landscaping,gardening & landscaping,topic,1,1,0,0.0,0.005353121646739253
topic:ground transportation,ground transportation,topic,1,1,0,0.0,0.005353121646739253
topic:gym workouts,gym workouts,topic,1,1,0,0.0,0.005353121646739253
topic:hair care,hair care,topic,1,1,0,0.0,0.005353121646739253
topic:horticulture & gardening,horticulture & gardening,topic,1,1,0,0.0,0.005353121646739253
topic:mammals,mammals,topic,1,1,0,0.0,0.005353121646739253
topic:motorsports,motorsports,topic,1,1,0,0.0,0.005353121646739253
topic:nail care,nail care,topic,1,1,0,0.0,0.005353121646739253
topic:nails & nail care,nails & nail care,topic,1,1,0,0.0,0.005353121646739253
topic:pets,pets,topic,1,1,0,0.0,0.005353121646739253
topic:recipes,recipes,topic,1,1,0,0.0,0.005353121646739253
topic:shoes,shoes,topic,1,1,0,0.0,0.005353121646739253
topic:soccer,soccer,topic,1,1,0,0.0,0.005353121646739253
topic:strategy video games,strategy video games,topic,1,1,0,0.0,0.005353121646739253
topic:survival video games,survival video games,topic,1,1,0,0.0,0.005353121646739253
topic:tabletop games,tabletop games,topic,1,1,0,0.0,0.005353121646739253
topic:tv & movies by genre,tv & movies by genre,topic,1,1,0,0.0,0.005353121646739253
topic:tv & movies celebrities,tv & movies celebrities,topic,1,1,0,0.0,0.005353121646739253
topic:types of sports,types of sports,topic,1,1,0,0.0,0.005353121646739253
topic:vehicle & transportation industry,vehicle & transportation industry,topic,1,1,0,0.0,0.005353121646739253
topic:vehicle events,vehicle events,topic,1,1,0,0.0,0.005353121646739253
topic:video games,video games,topic,1,1,0,0.0,0.005353121646739253
topic:video games by game play genre,video games by game play genre,topic,1,1,0,0.0,0.005353121646739253
topic:video games by theme,video games by theme,topic,1,1,0,0.0,0.005353121646739253
topic:visual arts,visual arts,topic,1,1,0,0.0,0.005353121646739253
